Command line
python /work02/home/wangzihan/anaconda3/envs/chemprop/bin/chemprop_train --data_path ./data/GCN_reag0_data_withoutN.csv --dataset_type multiclass --multiclass_num_classes 4569 --save_dir ./data/GCN_reag0_checkpoint --explicit_h --reaction --reaction_mode reac_prod --extra_metrics accuracy top3 --epochs 5
Args
{'activation': 'ReLU',
 'adding_bond_types': True,
 'adding_h': False,
 'aggregation': 'mean',
 'aggregation_norm': 100,
 'atom_constraints': [],
 'atom_descriptor_scaling': True,
 'atom_descriptors': None,
 'atom_descriptors_path': None,
 'atom_descriptors_size': 0,
 'atom_features_size': 0,
 'atom_messages': False,
 'atom_targets': [],
 'batch_size': 50,
 'bias': False,
 'bias_solvent': False,
 'bond_constraints': [],
 'bond_descriptor_scaling': True,
 'bond_descriptors': None,
 'bond_descriptors_path': None,
 'bond_descriptors_size': 0,
 'bond_features_size': 0,
 'bond_targets': [],
 'cache_cutoff': 10000,
 'checkpoint_dir': None,
 'checkpoint_frzn': None,
 'checkpoint_path': None,
 'checkpoint_paths': None,
 'class_balance': False,
 'config_path': None,
 'constraints_path': None,
 'crossval_index_dir': None,
 'crossval_index_file': None,
 'crossval_index_sets': None,
 'cuda': True,
 'data_path': './data/GCN_reag0_data_withoutN.csv',
 'data_weights_path': None,
 'dataset_type': 'multiclass',
 'depth': 3,
 'depth_solvent': 3,
 'device': device(type='cuda'),
 'dropout': 0.0,
 'empty_cache': False,
 'ensemble_size': 1,
 'epochs': 5,
 'evidential_regularization': 0,
 'explicit_h': True,
 'extra_metrics': ['accuracy', 'top3'],
 'features_generator': None,
 'features_only': False,
 'features_path': None,
 'features_scaling': True,
 'features_size': None,
 'ffn_hidden_size': 300,
 'ffn_num_layers': 2,
 'final_lr': 0.0001,
 'folds_file': None,
 'freeze_first_only': False,
 'frzn_ffn_layers': 0,
 'gpu': None,
 'grad_clip': None,
 'hidden_size': 300,
 'hidden_size_solvent': 300,
 'ignore_columns': None,
 'init_lr': 0.0001,
 'is_atom_bond_targets': False,
 'keeping_atom_map': False,
 'log_frequency': 10,
 'loss_function': 'cross_entropy',
 'max_data_size': None,
 'max_lr': 0.001,
 'metric': 'cross_entropy',
 'metrics': ['cross_entropy', 'accuracy', 'top3'],
 'minimize_score': True,
 'mpn_shared': False,
 'multiclass_num_classes': 4569,
 'no_adding_bond_types': False,
 'no_atom_descriptor_scaling': False,
 'no_bond_descriptor_scaling': False,
 'no_cache_mol': False,
 'no_cuda': False,
 'no_features_scaling': False,
 'no_shared_atom_bond_ffn': False,
 'num_folds': 1,
 'num_lrs': 1,
 'num_tasks': 1,
 'num_workers': 8,
 'number_of_molecules': 1,
 'overwrite_default_atom_features': False,
 'overwrite_default_bond_features': False,
 'phase_features_path': None,
 'pytorch_seed': 0,
 'quiet': False,
 'reaction': True,
 'reaction_mode': 'reac_prod',
 'reaction_solvent': False,
 'resume_experiment': False,
 'save_dir': './data/GCN_reag0_checkpoint',
 'save_preds': False,
 'save_smiles_splits': False,
 'seed': 0,
 'separate_test_atom_descriptors_path': None,
 'separate_test_bond_descriptors_path': None,
 'separate_test_constraints_path': None,
 'separate_test_features_path': None,
 'separate_test_path': None,
 'separate_test_phase_features_path': None,
 'separate_val_atom_descriptors_path': None,
 'separate_val_bond_descriptors_path': None,
 'separate_val_constraints_path': None,
 'separate_val_features_path': None,
 'separate_val_path': None,
 'separate_val_phase_features_path': None,
 'shared_atom_bond_ffn': True,
 'show_individual_scores': False,
 'smiles_columns': ['smarts'],
 'spectra_activation': 'exp',
 'spectra_phase_mask_path': None,
 'spectra_target_floor': 1e-08,
 'split_key_molecule': 0,
 'split_sizes': [0.8, 0.1, 0.1],
 'split_type': 'random',
 'target_columns': None,
 'target_weights': None,
 'task_names': ['reag0'],
 'test': False,
 'test_fold_index': None,
 'train_data_size': None,
 'undirected': False,
 'use_input_features': False,
 'val_fold_index': None,
 'warmup_epochs': 2.0,
 'weights_ffn_num_layers': 2}
Setting molecule featurization parameters to default.
Loading data
Warning: 2 SMILES are invalid.
Number of tasks = 1
Fold 0
Splitting data with seed 0
Total size = 918,381 | train size = 734,704 | val size = 91,838 | test size = 91,839
Building model 0
MoleculeModel(
  (multiclass_softmax): Softmax(dim=2)
  (encoder): MPN(
    (encoder): ModuleList(
      (0): MPNEncoder(
        (dropout): Dropout(p=0.0, inplace=False)
        (act_func): ReLU()
        (W_i): Linear(in_features=193, out_features=300, bias=False)
        (W_h): Linear(in_features=300, out_features=300, bias=False)
        (W_o): Linear(in_features=465, out_features=300, bias=True)
      )
    )
  )
  (readout): Sequential(
    (0): Dropout(p=0.0, inplace=False)
    (1): Linear(in_features=300, out_features=300, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.0, inplace=False)
    (4): Linear(in_features=300, out_features=4569, bias=True)
  )
)
Number of parameters = 1,753,569
Moving model to cuda
Epoch 0
Loss = 8.3775e+00, PNorm = 42.0991, GNorm = 1.1495, lr_0 = 1.0034e-04
Loss = 8.2138e+00, PNorm = 42.1296, GNorm = 2.0609, lr_0 = 1.0064e-04
Loss = 7.9268e+00, PNorm = 42.1829, GNorm = 3.0836, lr_0 = 1.0095e-04
Loss = 7.3293e+00, PNorm = 42.2666, GNorm = 6.7229, lr_0 = 1.0126e-04
Loss = 6.2393e+00, PNorm = 42.3850, GNorm = 7.6276, lr_0 = 1.0156e-04
Loss = 5.4172e+00, PNorm = 42.4911, GNorm = 14.6372, lr_0 = 1.0187e-04
Loss = 6.4835e+00, PNorm = 42.5625, GNorm = 10.0922, lr_0 = 1.0217e-04
Loss = 5.1938e+00, PNorm = 42.6451, GNorm = 5.9506, lr_0 = 1.0248e-04
Loss = 5.3211e+00, PNorm = 42.7415, GNorm = 5.5660, lr_0 = 1.0279e-04
Loss = 5.1003e+00, PNorm = 42.8350, GNorm = 5.8211, lr_0 = 1.0309e-04
Loss = 5.1440e+00, PNorm = 42.9169, GNorm = 8.0390, lr_0 = 1.0340e-04
Loss = 5.0671e+00, PNorm = 42.9875, GNorm = 6.5875, lr_0 = 1.0371e-04
Loss = 5.0955e+00, PNorm = 43.0547, GNorm = 6.0812, lr_0 = 1.0401e-04
Loss = 5.0210e+00, PNorm = 43.1267, GNorm = 6.8688, lr_0 = 1.0432e-04
Loss = 5.1681e+00, PNorm = 43.2010, GNorm = 7.1216, lr_0 = 1.0462e-04
Loss = 5.0766e+00, PNorm = 43.2809, GNorm = 5.1284, lr_0 = 1.0493e-04
Loss = 5.0724e+00, PNorm = 43.3615, GNorm = 5.9434, lr_0 = 1.0524e-04
Loss = 5.1291e+00, PNorm = 43.4355, GNorm = 7.2306, lr_0 = 1.0554e-04
Loss = 5.0491e+00, PNorm = 43.5120, GNorm = 6.4524, lr_0 = 1.0585e-04
Loss = 4.9473e+00, PNorm = 43.5859, GNorm = 5.3174, lr_0 = 1.0616e-04
Loss = 5.0981e+00, PNorm = 43.6550, GNorm = 6.0024, lr_0 = 1.0646e-04
Loss = 4.8873e+00, PNorm = 43.7301, GNorm = 4.6690, lr_0 = 1.0677e-04
Loss = 4.9105e+00, PNorm = 43.8062, GNorm = 8.6091, lr_0 = 1.0707e-04
Loss = 4.9792e+00, PNorm = 43.8810, GNorm = 5.8198, lr_0 = 1.0738e-04
Loss = 5.0287e+00, PNorm = 43.9595, GNorm = 5.5763, lr_0 = 1.0769e-04
Loss = 5.0970e+00, PNorm = 44.0458, GNorm = 11.1459, lr_0 = 1.0799e-04
Loss = 4.8413e+00, PNorm = 44.1356, GNorm = 5.4758, lr_0 = 1.0830e-04
Loss = 4.9970e+00, PNorm = 44.2193, GNorm = 4.9565, lr_0 = 1.0861e-04
Loss = 4.9654e+00, PNorm = 44.3070, GNorm = 4.8700, lr_0 = 1.0891e-04
Loss = 5.2274e+00, PNorm = 44.4001, GNorm = 4.0786, lr_0 = 1.0922e-04
Loss = 5.1610e+00, PNorm = 44.5095, GNorm = 4.5821, lr_0 = 1.0952e-04
Loss = 5.0099e+00, PNorm = 44.6311, GNorm = 4.9177, lr_0 = 1.0983e-04
Loss = 4.7798e+00, PNorm = 44.7546, GNorm = 4.7263, lr_0 = 1.1014e-04
Loss = 5.0220e+00, PNorm = 44.8664, GNorm = 4.4027, lr_0 = 1.1044e-04
Loss = 4.8167e+00, PNorm = 44.9898, GNorm = 4.3488, lr_0 = 1.1075e-04
Loss = 4.9134e+00, PNorm = 45.1113, GNorm = 5.3023, lr_0 = 1.1106e-04
Loss = 4.6489e+00, PNorm = 45.2320, GNorm = 4.6513, lr_0 = 1.1136e-04
Loss = 4.7731e+00, PNorm = 45.3368, GNorm = 5.2470, lr_0 = 1.1167e-04
Loss = 4.8849e+00, PNorm = 45.4414, GNorm = 4.8426, lr_0 = 1.1197e-04
Loss = 4.8624e+00, PNorm = 45.5629, GNorm = 4.7463, lr_0 = 1.1228e-04
Loss = 4.8664e+00, PNorm = 45.6835, GNorm = 4.0003, lr_0 = 1.1259e-04
Loss = 4.8775e+00, PNorm = 45.8198, GNorm = 5.1503, lr_0 = 1.1289e-04
Loss = 5.1858e+00, PNorm = 45.9664, GNorm = 3.8015, lr_0 = 1.1320e-04
Loss = 4.9496e+00, PNorm = 46.1503, GNorm = 4.2349, lr_0 = 1.1351e-04
Loss = 4.8181e+00, PNorm = 46.3276, GNorm = 4.2571, lr_0 = 1.1381e-04
Loss = 4.8562e+00, PNorm = 46.4731, GNorm = 4.9195, lr_0 = 1.1412e-04
Loss = 4.7925e+00, PNorm = 46.6201, GNorm = 4.6867, lr_0 = 1.1442e-04
Loss = 4.7789e+00, PNorm = 46.7487, GNorm = 4.8986, lr_0 = 1.1473e-04
Loss = 4.8203e+00, PNorm = 46.8916, GNorm = 4.9192, lr_0 = 1.1504e-04
Loss = 4.8842e+00, PNorm = 47.0507, GNorm = 4.4950, lr_0 = 1.1534e-04
Loss = 4.7526e+00, PNorm = 47.2283, GNorm = 3.6791, lr_0 = 1.1565e-04
Loss = 4.8756e+00, PNorm = 47.4154, GNorm = 3.7516, lr_0 = 1.1596e-04
Loss = 4.9348e+00, PNorm = 47.5917, GNorm = 3.4939, lr_0 = 1.1626e-04
Loss = 4.8679e+00, PNorm = 47.7873, GNorm = 4.2763, lr_0 = 1.1657e-04
Loss = 4.9458e+00, PNorm = 47.9640, GNorm = 4.1679, lr_0 = 1.1687e-04
Loss = 4.7647e+00, PNorm = 48.1443, GNorm = 4.6325, lr_0 = 1.1718e-04
Loss = 4.8030e+00, PNorm = 48.3049, GNorm = 3.9450, lr_0 = 1.1749e-04
Loss = 4.8551e+00, PNorm = 48.4782, GNorm = 3.9871, lr_0 = 1.1779e-04
Loss = 4.7212e+00, PNorm = 48.6545, GNorm = 4.8924, lr_0 = 1.1810e-04
Loss = 4.8298e+00, PNorm = 48.8315, GNorm = 3.8164, lr_0 = 1.1841e-04
Loss = 4.9347e+00, PNorm = 49.0503, GNorm = 4.3198, lr_0 = 1.1871e-04
Loss = 4.9626e+00, PNorm = 49.2753, GNorm = 3.1468, lr_0 = 1.1902e-04
Loss = 4.8473e+00, PNorm = 49.5362, GNorm = 3.3038, lr_0 = 1.1932e-04
Loss = 4.6915e+00, PNorm = 49.7698, GNorm = 3.9389, lr_0 = 1.1963e-04
Loss = 4.8743e+00, PNorm = 49.9899, GNorm = 4.0612, lr_0 = 1.1994e-04
Loss = 4.8079e+00, PNorm = 50.2474, GNorm = 4.1338, lr_0 = 1.2024e-04
Loss = 4.7373e+00, PNorm = 50.4659, GNorm = 3.5709, lr_0 = 1.2055e-04
Loss = 4.8351e+00, PNorm = 50.7119, GNorm = 3.8792, lr_0 = 1.2086e-04
Loss = 4.9824e+00, PNorm = 50.9987, GNorm = 3.8757, lr_0 = 1.2116e-04
Loss = 4.8957e+00, PNorm = 51.3072, GNorm = 3.7345, lr_0 = 1.2147e-04
Loss = 4.8283e+00, PNorm = 51.5637, GNorm = 4.1123, lr_0 = 1.2177e-04
Loss = 4.8140e+00, PNorm = 51.8067, GNorm = 3.8068, lr_0 = 1.2208e-04
Loss = 4.8100e+00, PNorm = 52.0102, GNorm = 3.6413, lr_0 = 1.2239e-04
Loss = 4.9127e+00, PNorm = 52.2529, GNorm = 2.8068, lr_0 = 1.2269e-04
Loss = 4.7847e+00, PNorm = 52.5138, GNorm = 3.5317, lr_0 = 1.2300e-04
Loss = 4.9565e+00, PNorm = 52.7634, GNorm = 4.2901, lr_0 = 1.2331e-04
Loss = 4.8096e+00, PNorm = 53.0217, GNorm = 3.8959, lr_0 = 1.2361e-04
Loss = 4.7776e+00, PNorm = 53.2837, GNorm = 3.4042, lr_0 = 1.2392e-04
Loss = 4.5753e+00, PNorm = 53.5452, GNorm = 4.3856, lr_0 = 1.2422e-04
Loss = 4.6724e+00, PNorm = 53.7303, GNorm = 3.6157, lr_0 = 1.2453e-04
Loss = 4.7854e+00, PNorm = 53.9885, GNorm = 3.1737, lr_0 = 1.2484e-04
Loss = 4.8360e+00, PNorm = 54.2376, GNorm = 3.8381, lr_0 = 1.2514e-04
Loss = 5.0118e+00, PNorm = 54.5345, GNorm = 3.3157, lr_0 = 1.2545e-04
Loss = 4.7777e+00, PNorm = 54.9156, GNorm = 3.7621, lr_0 = 1.2576e-04
Loss = 4.6861e+00, PNorm = 55.2119, GNorm = 3.6482, lr_0 = 1.2606e-04
Loss = 4.6826e+00, PNorm = 55.4929, GNorm = 3.0320, lr_0 = 1.2637e-04
Loss = 4.8260e+00, PNorm = 55.7822, GNorm = 3.2687, lr_0 = 1.2667e-04
Loss = 4.8167e+00, PNorm = 56.1429, GNorm = 4.1218, lr_0 = 1.2698e-04
Loss = 4.7457e+00, PNorm = 56.4761, GNorm = 3.6118, lr_0 = 1.2729e-04
