reag,count
None,3434249
Cl,87259
CCN(CC)CC,72416
O,72223
[Na+].[OH-],67189
O=C([O-])[O-].[K+].[K+],64935
CCN(C(C)C)C(C)C,41037
[H-].[Na+],40511
O=C([O-])O.[Na+],33641
O=C(O)C(F)(F)F,21479
O=C([O-])[O-].[Na+].[Na+],21320
[BH4-].[Na+],17452
CO,17393
[Cl-].[NH4+],16365
[K+].[OH-],16164
CC(=O)O,15151
O=C([O-])[O-].[Cs+].[Cs+],15020
c1ccncc1,14920
[H][H],14823
O=S(Cl)Cl,14642
CCOC(C)=O,14433
[Li]CCCC,13905
[Al+3].[H-].[H-].[H-].[H-].[Li+],13337
c1ccc(P(c2ccccc2)c2ccccc2)cc1,13061
O=S(=O)(O)O,12940
CN(C)C=O,12505
C1CCOC1,12260
[Li+].[OH-],11422
On1nnc2ccccc21,11119
N,10704
CCN=C=NCCCN(C)C.Cl,10607
ClCCl,9990
O=C1CCC(=O)N1Br,9387
CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],9219
O=P(Cl)(Cl)Cl,9205
CCO,9081
CN(C)C(On1nnc2cccnc21)=[N+](C)C.F[P-](F)(F)(F)(F)F,9050
O=C(Cl)C(=O)Cl,8877
BrBr,7129
CI,6879
CCOCC,6534
O=N[O-].[Na+],6453
[Al+3].[Cl-].[Cl-].[Cl-],6159
NN.O,6110
CS(C)=O,6102
BrB(Br)Br,5669
[BH3-]C#N.[Na+],5578
O=[N+]([O-])O,5467
[I-].[Na+],5443
Cl.NO,5409
CC(=O)[O-].[Na+],5396
C[O-].[Na+],5366
CC(C)(C)[O-].[K+],5302
CCCC[N+](CCCC)(CCCC)CCCC.[F-],5222
CN1CCOCC1,5180
Cc1ccccc1,5115
[N-]=[N+]=[N-].[Na+],5101
O=P([O-])([O-])[O-].[K+].[K+].[K+],5098
O=C(OO)c1cccc(Cl)c1,5043
[Na],4924
[NH4+].[OH-],4900
C1COCCO1,4748
CCN=C=NCCCN(C)C,4736
CC(=O)[O-].[K+],4603
O.[Li+].[OH-],4297
Cc1ccc(S(=O)(=O)O)cc1,4234
C(=NC1CCCCC1)=NC1CCCCC1,4215
ClCCCl,4166
[I-].[K+],4160
c1c[nH]cn1,4111
Br,3962
OO,3957
II,3632
CC#N,3587
O=C(n1ccnc1)n1ccnc1,3324
[Cl-].[Na+],3149
C1CCC2=NCCCN2CC1,3111
C1CCNCC1,2991
CCCCCC,2920
CC(C)NC(C)C,2832
NN,2709
C=O,2672
C[Si](C)(C)[N-][Si](C)(C)C.[Li+],2502
CC(C)C[Al+]CC(C)C.[H-],2501
O.On1nnc2ccccc21,2406
Cc1ccc(S(=O)(=O)O)cc1.O,2384
O=C[O-].[NH4+],2354
O=C1CCC(=O)N1Cl,2351
CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,2338
[Mg],2337
CCOC(=O)N=NC(=O)OCC,2331
CN(C)C(On1nnc2ccccc21)=[N+](C)C.F[B-](F)(F)F,2305
CC[SiH](CC)CC,2254
CC(=O)OC(C)=O,2236
ClC(Cl)Cl,2203
CN(C)C(On1nnc2ccccc21)=[N+](C)C.F[P-](F)(F)(F)(F)F,2200
CC(=O)OI1(OC(C)=O)(OC(C)=O)OC(=O)c2ccccc21,2181
N#N,2125
O=C(O)CC(O)(CC(=O)O)C(=O)O,2115
CC(C)(C)[O-].[Na+],2115
CC(=O)[O-].[NH4+],2099
[C-]#N.[Na+],2049
O=S([O-])([O-])=S.[Na+].[Na+],2030
C[Si](C)(C)Cl,1985
[BH4-].[Li+],1962
CS(=O)(=O)Cl,1932
CC(C)[N-]C(C)C.[Li+],1930
O.[Li]O,1862
